idx;file_names;1;2;3;4;5;7;8;9;10;11;12;14;17;18;21;22;23;24;25;26;27;30;31;34;35;36;38;39;43;44;45;48;49;50;51;52;53;54;55;56;59;60;61;62;63;66;68;70;71;72;73;77;78;79;80;81;83;84;86;90;91;93;94;96;97;101;103;104;105;106;total_word;id_word;id_key;keyword;confident
9362;006752.16.2018w.txt;2;2;0;25;0;0;0;0;12;3;3;0;0;0;4;0;8;0;0;0;0;0;0;0;0;4;0;0;0;4;15;0;0;0;4;218;0;50;3;1;0;0;0;0;0;0;0;0;0;0;4;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;52;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.726666667
9363;006752.16.2018w_2.txt;2;2;0;25;0;0;0;0;12;3;3;0;0;0;4;0;8;0;0;0;0;0;0;0;0;4;0;0;0;4;15;0;0;0;4;218;0;50;3;1;0;0;0;0;0;0;0;0;0;0;4;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;52;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.726666667
15333;011109.16.2019w.txt;0;0;0;6;0;15;0;0;4;0;22;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;2;218;0;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;52;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.726666667
10347;007525.16.2018w.txt;0;0;0;38;0;3;0;0;36;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;213;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;52;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.71
10211;007434.16.2019w.txt;0;29;0;0;0;2;0;0;7;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;26;0;209;3;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;54;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.696666667
8514;006145.16.2019w.txt;0;0;0;15;0;0;0;0;20;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;85;206;0;0;0;0;5;0;5;0;3;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;45;1027;Pajak Masukan Pemanfaatan JKP Luar Daerah Pabean;0.686666667
8511;006143.16.2019w.txt;0;0;0;16;0;0;0;0;20;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;87;205;0;0;0;0;4;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;45;1027;Pajak Masukan Pemanfaatan JKP Luar Daerah Pabean;0.683333333
7409;005453.16.2018watermarked.txt;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;77;1048;Penyerahan solar yang tidak dikenakan PPN ;0.673333333
3328;002553.16.2019w.txt;3;18;0;79;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0;7;7;17;0;0;1;1;10;0;193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;54;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.643333333
3332;002555.16.2019w.txt;3;18;0;76;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;8;4;16;0;0;1;2;9;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;54;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.64
3336;002557.16.2019w.txt;3;19;0;72;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;3;0;0;7;7;22;0;0;1;1;10;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;54;1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah;0.64
